iter	RMSE
0	422.936854
1	412.6620577
2	403.635768
3	395.1214639
4	387.8343379
5	380.5080343
6	373.1931616
7	366.4659045
8	361.1061696
9	355.3561285
10	350.1475236
11	345.7509785
12	341.0396144
13	337.022105
14	333.4192395
15	330.3230547
16	327.0293023
17	324.4384059
18	321.3629837
19	318.524057
20	316.2245993
21	313.9108181
22	311.835249
23	309.8910587
24	308.1201668
25	306.5293162
26	304.9482619
27	303.1859873
28	301.7446239
29	300.7500187
30	299.7477358
31	298.4890244
32	297.2940821
33	296.2930613
34	295.267594
35	294.4345103
36	293.5796494
37	292.6940717
38	291.9038723
39	291.256907
40	290.7036401
41	290.0462094
42	289.5235877
43	288.8730088
44	288.3178522
45	288.0261674
46	287.5163701
47	287.063048
48	286.5397368
49	286.0470897
50	285.6449605
51	285.2572051
52	284.9239262
53	284.5545616
54	284.1408451
55	283.8192539
56	283.520115
57	283.2762988
58	282.9634261
59	282.7017026
60	282.4859711
61	282.2826183
62	281.9828911
63	281.7637064
64	281.532596
65	281.215329
66	280.9628229
67	280.6876219
68	280.4470826
69	280.2618291
70	280.0868332
71	279.864247
72	279.6520345
73	279.4643155
74	279.3591837
75	279.1845139
76	278.98888
77	278.8033637
78	278.5557942
79	278.4522962
80	278.2849841
81	278.1838867
82	278.0615051
83	277.8809992
84	277.7450212
85	277.5530529
86	277.4137853
87	277.2301589
88	277.1479886
89	277.1358082
90	276.9800253
91	276.8084337
92	276.647367
93	276.4183564
94	276.2895923
95	276.2212099
96	276.0177628
97	275.8817114
98	275.749132
99	275.6708889
100	275.5532998
101	275.4260377
102	275.2485514
103	275.0483321
104	274.9733695
105	274.8364578
106	274.6581444
107	274.5228589
108	274.3867713
109	274.3784794
110	274.2821299
111	274.2065082
112	274.1021669
113	274.0225065
114	273.8631855
115	273.770646
116	273.6165599
117	273.5319522
118	273.408681
119	273.3062591
120	273.2138257
121	273.0728376
122	272.9377211
123	272.8649841
124	272.7273557
125	272.6620603
126	272.5400142
127	272.4547278
128	272.3304638
129	272.2267556
130	272.1233361
131	272.1126864
132	272.0697494
133	272.0347719
134	271.9846046
135	271.9313496
136	271.8879375
137	271.8286564
138	271.7229943
139	271.5867908
140	271.4954529
141	271.4070821
142	271.3876293
143	271.2392544
144	271.234817
145	271.1028011
146	271.0334942
147	270.908128
148	270.827896
149	270.7125628
150	270.6612761
151	270.5778467
152	270.4711864
153	270.375107
154	270.2517875
155	270.136637
156	270.0752772
157	269.940231
158	269.8372308
159	269.6667063
160	269.5497481
161	269.4724003
162	269.3962699
163	269.3516815
164	269.2517825
165	269.1752253
166	269.1224673
167	269.11953
168	269.0331948
169	268.9216605
170	268.8447425
171	268.7084008
172	268.6468381
173	268.5859635
174	268.4970959
175	268.4264193
176	268.3127419
177	268.2652123
178	268.1869807
179	268.1209739
180	268.0428092
181	267.9007972
182	267.8189388
183	267.6559771
184	267.5611554
185	267.5272544
186	267.4512107
187	267.3591464
188	267.2791629
189	267.1544547
190	267.1124564
191	267.0544324
192	266.9545967
193	266.9076493
194	266.8103187
195	266.7596789
196	266.6498367
197	266.5647392
198	266.4374741
199	266.3191313
200	266.2151061
201	266.1690746
202	266.0837409
203	266.0055166
204	265.8995681
205	265.8296858
206	265.7614835
207	265.7252512
208	265.6611838
209	265.6016552
210	265.5460771
211	265.4676701
212	265.4245591
213	265.3453196
214	265.2891351
215	265.2237152
216	265.090043
217	265.0110126
218	264.9474558
219	264.8804969
220	264.7572906
221	264.680883
222	264.6225532
223	264.577686
224	264.4424956
225	264.2829941
226	264.1975686
227	264.017189
228	263.9117043
229	263.8677267
230	263.7600046
231	263.697231
232	263.5787293
233	263.5078647
234	263.3601382
235	263.2894531
236	263.1918339
237	263.1308819
238	263.0680216
239	262.9839233
240	262.9060512
241	262.8344684
242	262.7171762
243	262.646942
244	262.5291824
245	262.4569853
246	262.3715993
247	262.2623178
248	262.1228093
249	262.0462115
250	261.8929235
251	261.7442667
252	261.7099493
253	261.5871998
254	261.5253709
255	261.495672
256	261.4344439
257	261.3976614
258	261.3324349
259	261.2060066
260	261.0868412
261	260.9844156
262	260.9023035
263	260.819327
264	260.7057489
265	260.5505613
266	260.4778754
267	260.4102786
268	260.3095425
269	260.2414733
270	260.1556578
271	260.0642996
272	259.9524914
273	259.8450085
274	259.7790587
275	259.6978959
276	259.5967674
277	259.5322464
278	259.469001
279	259.3388385
280	259.2292264
281	259.1511702
282	259.0588446
283	259.0002512
284	258.9028435
285	258.8691259
286	258.7869424
287	258.6796568
288	258.6339388
289	258.5573398
290	258.5026588
291	258.4262013
292	258.32923
293	258.269352
294	258.1554808
295	258.0881727
296	257.9927145
297	257.9226124
298	257.8653786
299	257.8271854
300	257.7698545
301	257.6432227
302	257.5961767
303	257.5177507
304	257.426982
305	257.2945271
306	257.2113171
307	257.0888668
308	256.9827892
309	256.9253823
310	256.853347
311	256.7854649
312	256.7603627
313	256.7251107
314	256.608081
315	256.5417544
316	256.4713007
317	256.3904006
318	256.2740817
319	256.2245048
320	256.1200699
321	256.0591538
322	255.9843223
323	255.9277088
324	255.8671173
325	255.7989059
326	255.692588
327	255.6606633
328	255.6137142
329	255.5279067
330	255.446438
331	255.3571181
332	255.3061734
333	255.211234
334	255.1435917
